,ds,yhat_lower,yhat_upper,yhat
363,2021-12-30,10920169.187988037,10921310.512788977,10920745.396270696
364,2021-12-31,10950197.687682366,10951378.306547355,10950804.40805533
365,2022-01-01,10980258.028480839,10981419.35019383,10980850.275692966
366,2022-01-02,11010359.781782271,11011436.468606798,11010881.733622463
367,2022-01-03,11040326.610059159,11041489.520245709,11040919.339196837
368,2022-01-04,11070334.515184704,11071486.969378166,11070950.405374419
369,2022-01-05,11100471.278017206,11101539.613537889,11101016.962388143
370,2022-01-06,11130442.443341607,11131577.781279448,11131046.360899074
371,2022-01-07,11160537.29141788,11161661.859273164,11161105.680274023
372,2022-01-08,11190572.76190616,11191730.2773478,11191151.602086859
373,2022-01-09,11220586.159696018,11221750.093790399,11221182.838679304
374,2022-01-10,11250589.692337206,11251776.867239341,11251183.098196583
375,2022-01-11,11280602.30401562,11281804.381493242,11281176.694735967
376,2022-01-12,11310640.468628375,11311757.601186937,11311206.455410726
377,2022-01-13,11340643.623929208,11341746.98464344,11341198.353468535
378,2022-01-14,11370689.312540844,11371806.272172054,11371220.737146702
379,2022-01-15,11400671.517418679,11401724.654111749,11401229.470007967
380,2022-01-16,11430638.27239335,11431768.891010044,11431223.242458956
381,2022-01-17,11460658.685050728,11461737.165257344,11461223.399068218
382,2022-01-18,11490667.722535264,11491754.645218603,11491216.769191487
383,2022-01-19,11520680.685476819,11521777.6522047,11521246.976191934
384,2022-01-20,11550664.985568888,11551747.315222183,11551238.616993807
385,2022-01-21,11580722.105535958,11581800.41653182,11581261.30788098
386,2022-01-22,11610688.547984906,11611824.81836762,11611270.094850283
387,2022-01-23,11640695.00833225,11641786.459744561,11641263.646238608
388,2022-01-24,11670699.496422172,11671832.974680647,11671263.699939856
389,2022-01-25,11700696.3925191,11701781.730867699,11701256.843647007
390,2022-01-26,11730743.287551982,11731829.977032283,11731287.496973142
391,2022-01-27,11760751.187914327,11761841.927648826,11761278.880519077
392,2022-01-28,11790754.34590046,11791817.105694436,11791301.87861526
393,2022-01-29,11820760.376040203,11821881.454639332,11821310.7196926
